"sku","name","description","manufacturer","manufacturer_part_number","family_series","brand_logo_url","price","lead_time","is_discontinued","is_repairable","voltage","output_type","sensing_type","protection_rating","categories_separated","url","image_url","net_weight","gross_weight","ship_length","ship_width","ship_height","category_level_2","accessory_type"
"1501-AQN5-EDWD","1501-AQN5","Door Holder 24V Ac/Dc 120V Ac","Edwards Signaling","1501-AQN5","Edwards Signaling Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/edwd/logo_s.jpg","129.15","59","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/1501-aqn5-edwards-signaling.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/1/5/1501-aqn5-edwards-signaling_1.png","3.205","4.715","4.8","4.45","3.45","Products /// Automation & Control /// Programmable Logic Controllers","Edwards Signaling Programmable Logic Controllers"
"1SAP120600R0071-ABBG","1SAP120600R0071","PM554-TP-ETH, AC500-eCo CPU, 128 KB Memory, 8DI, 6 Transistor Out, 24 V DC, Ethernet Communication","ABB","1SAP120600R0071","ABB Programmable Logic Controllers, AC500-eCo Series","https://www.galco.com/media/brands/abb/logo_s.jpg","876.23","158","0","0","24 VDC","null","null","null","Products > Automation & Control > Programmable Logic Controllers > Programmable Logic Controllers","https://www.galco.com/1sap120600r0071-abbg.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/1/s/1sap120600r0071-abb.jpg","0.735","1.08","5.3","3.25","2.95","Products /// Automation & Control /// Programmable Logic Controllers","ABB Programmable Logic Controllers, AC500-eCo Series"
"1SAP130300R0271-ABBG","1SAP130300R0271","PM573-ETH,AC500 512/512KB User/Data Memory, 0.09us/scan, V2.x","ABB","1SAP130300R0271","ABB Programmable Logic Controllers, AC500 Series","https://www.galco.com/media/brands/abb/logo_s.jpg","2085.85","128","0","0","24 VDC","null","null","null","Products > Automation & Control > Programmable Logic Controllers > Programmable Logic Controllers","https://www.galco.com/1sap130300r0271-abbg.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/1/s/1sap130300r0271-abb_1.png","0.3306","0.35","2.83","2.66","2.99","Products /// Automation & Control /// Programmable Logic Controllers","ABB Programmable Logic Controllers, AC500 Series"
"1SAP180100R0001-ABBG","1SAP180100R0001","MC502, SD Memory Card 2 GB needs the MC503 option","ABB","1SAP180100R0001","ABB Programmable Logic Controllers","https://www.galco.com/media/brands/abb/logo_s.jpg","216.89","8","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/1sap180100r0001-abb-control.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/1/s/1sap180100r0001-abb.jpg","0.005","0.025","1.3","0.9","0.1","Products /// Automation & Control /// Programmable Logic Controllers","ABB Programmable Logic Controllers"
"1SAP180600R0001-ABBG","1SAP180600R0001","TA524: AC500, Dummy Coupler Module","ABB","1SAP180600R0001","ABB Programmable Logic Controllers","https://www.galco.com/media/brands/abb/logo_s.jpg","32.17","10","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/1sap180600r0001-abb-control.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/1/s/1sap180600r0001-abb.jpg","0.17","0.23","2.75","5.4","1.1","Products /// Automation & Control /// Programmable Logic Controllers","ABB Programmable Logic Controllers"
"1SAP250700R0001-ABBG","1SAP250700R0001","DA501,DA501: S500, I/O MODULE, 16DI/8DC/4AI/2AO","ABB","1SAP250700R0001","ABB Programmable Logic Controllers","https://www.galco.com/media/brands/abb/logo_s.jpg","1053.3","7","0","0","null","Transistor","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Expansions","https://www.galco.com/1sap250700r0001-abb.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/1/s/1sap250700r0001-abb.jpg","0.275","0.335","2.65","2.65","3.25","Products /// Automation & Control /// Programmable Logic Controllers","ABB Programmable Logic Controllers"
"1TNE968901R3103-ABBG","1TNE968901R3103","TA564-9/L444409:S500,Terminal block, F/F,9 screw, Screw Front / Cable Front, 9 poles, Pitch 5.0mm","ABB","1TNE968901R3103","ABB Programmable Logic Controllers","https://www.galco.com/media/brands/abb/logo_s.jpg","13.49","6","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/1tne968901r3103-abb.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/1/t/1tne968901r3103-abb.png","0.06","0.06","4.6","1.8","0.6","Products /// Automation & Control /// Programmable Logic Controllers","ABB Programmable Logic Controllers"
"1TNE968901R3104-ABBG","1TNE968901R3104","TA564-11/L444411:S500, Terminal block, F/F, 11 screw, Screw Front / Cable Front, 11 poles, Pitch 5.0mm","ABB","1TNE968901R3104","ABB Programmable Logic Controllers","https://www.galco.com/media/brands/abb/logo_s.jpg","17.02","7","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/1tne968901r3104-abb-control.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/1/t/1tne968901r3104-abb.png","0.08","0.075","1","2.15","0.65","Products /// Automation & Control /// Programmable Logic Controllers","ABB Programmable Logic Controllers"
"1TNE968902R2102-ABBG","1TNE968902R2102","DI562, AC500-eCo I/O Module, 16DI, (1) 9 Pole Terminal Block, (1) 11 Pole Terminal Block","ABB","1TNE968902R2102","ABB Programmable Logic Controllers","https://www.galco.com/media/brands/abb/logo_s.jpg","174.83","78","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Expansions","https://www.galco.com/1tne968902r2102-abb-control.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/1/t/1tne968902r2102-abb.jpg","0.295","0.525","5.3","1.6","2.9","Products /// Automation & Control /// Programmable Logic Controllers","ABB Programmable Logic Controllers"
"1TNE968902R2302-ABBG","1TNE968902R2302","DX571, AC500-eCo I/O Module, 8DI, 8 Relay Out, (1) 9 Pole Terminal Block, (1) 11 Pole Terminal Block","ABB","1TNE968902R2302","ABB Programmable Logic Controllers","https://www.galco.com/media/brands/abb/logo_s.jpg","224.15","19","0","0","null","Relay","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Expansions","https://www.galco.com/1tne968902r2302-abb-control.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/1/t/1tne968902r2302-abb.png","0.305","0.535","2.85","1.65","5.4","Products /// Automation & Control /// Programmable Logic Controllers","ABB Programmable Logic Controllers"
"305160-PILZ","305160","PSS Conv USB / RS 232","PILZ","305160","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","218.67","22","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/305160-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/0/305160-pilz.jpg","0.3527","0.3527","1.16","5.35","9","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312200-PILZ","312200","PSSu E F 4DI","PILZ","312200","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","173","144","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312200-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312200-pilz.jpg","0.0794","0.097","2.37","0.5","2.99","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
"312210-PILZ","312210","PSSu E F 4DO 0.5","PILZ","312210","Pilz Programmable Logic Controllers","https://www.galco.com/media/amasty/shopby/option_images/slider/pilz/logo_s.jpg","223","99","0","0","null","null","null","null","Products > Automation & Control > Programmable Logic Controllers > PLC Accessories","https://www.galco.com/312210-pilz.html","https://www.galco.com/media/catalog/product/cache/0ea835f39922766a68bc9b4391a5bb45/3/1/312210-pilz.jpg","0.075","0.095","2.3","2.9","0.5","Products /// Automation & Control /// Programmable Logic Controllers","Pilz Programmable Logic Controllers"
